tag_originale,occorrenze,origine,azione,concetto_canonico,etichetta_grafo,nota
no tag,85,manual,drop,,,"Placeholder, non descrittore (85 occorrenze)"
AI,35,manual,merge,Artificial intelligence,AI,
ML,17,entrambi,merge,Machine learning,ML,
ricerca,15,manual,facet,Research,,
GenAI,13,manual,merge,Generative artificial intelligence,GenAI,
LLM,12,manual,merge,Large language models,LLM,
Large Language Models,9,manual,merge,Large language models,LLM,
Philosophy,9,manual,merge,Philosophy,,
Computer Science - Artificial Intelligence,8,entrambi,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Computation and Language (cs.CL),7,entrambi,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
FOS: Computer and information sciences,7,entrambi,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
AI literacy,7,manual,keep,AI literacy,,
ChatGPT,7,manual,keep,ChatGPT,,
DH,7,manual,merge,Digital humanities,DH,
Computer Science - Computation and Language,6,entrambi,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
HTR,6,entrambi,merge,Handwritten text recognition,HTR,Le tre varianti 'HTR for...' sono specificazioni di dominio del medesimo concetto - VERIFICARE
leggi,6,manual,merge,Law,,
Computers and Society (cs.CY),5,entrambi,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
education,5,manual,merge,Education,,
History,5,entrambi,merge,History,,
Natural laguage processing,5,manual,merge,Natural language processing,NLP,Include correzione del refuso 'laguage' (5 occorrenze)
Normativa,5,manual,merge,Regulation,,
gestione del rischio,5,manual,merge,Risk management,,
università,5,manual,facet,University,,
AI in archives,4,manual,keep,AI in archives,,
benchmark,4,entrambi,merge,Benchmarking,,
benchmarking,4,manual,merge,Benchmarking,,
ethics,4,manual,merge,Ethics,,
etica,4,manual,merge,Ethics,,
Intelligenza artificiale generativa,4,manual,merge,Generative artificial intelligence,GenAI,
Handwritten text recognition,4,entrambi,merge,Handwritten text recognition,HTR,
LLM evaluation,4,manual,keep,LLM evaluation,,
biblioteche,4,manual,merge,Libraries,,
Narratology,4,manual,merge,Narratology,,
scuola,4,manual,facet,School,,
Machine Learning (cs.LG),3,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Sistemi di intelligenza artificiale,3,manual,merge,AI systems,,Termine giuridico (AI Act): tenuto distinto da 'Artificial intelligence'
tutti,3,manual,facet,All,,
archivi,3,entrambi,merge,Archives,,
Bias,3,manual,keep,Bias,,
patrimonio culturale,3,manual,merge,Cultural heritage,,
MAB,3,manual,merge,GLAM institutions,MAB,
DH history,3,manual,merge,History of digital humanities,,
standard ISO,3,manual,merge,ISO standards,,
NLP,3,manual,merge,Natural language processing,NLP,Include correzione del refuso 'laguage' (5 occorrenze)
filosofia,3,manual,merge,Philosophy,,
Computer Science - Human-Computer Interaction,2,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
English,2,entrambi,drop,,,Tag di lingua: ridondante rispetto al campo Language
Artificial intelligence authorship,2,manual,keep,AI authorship,,
AI in libraries,2,manual,keep,AI in libraries,,
dottrina giuridica su IA,2,manual,merge,AI legal scholarship,,
AI regulation,2,manual,keep,AI regulation,,
Catalogazione,2,manual,merge,Cataloguing,,
beni culturali,2,manual,merge,Cultural heritage,,
datasets,2,manual,merge,Datasets,,
Dewey Decimal Classification,2,entrambi,keep,Dewey Decimal Classification,DDC,
digital editions,2,manual,merge,Digital scholarly editions,,
Disability,2,manual,keep,Disability,,
educazione,2,manual,merge,Education,,
evaluation,2,manual,merge,Evaluation,,
Gender bias,2,manual,keep,Gender bias,,
Graphematics,2,automatic,keep,Graphematics,,
Libraries,2,entrambi,merge,Libraries,,
Library of Congress Subject Heading,2,manual,keep,Library of Congress Subject Headings,LCSH,
Linguistics,2,manual,keep,Linguistics,,
Literary studies,2,manual,keep,Literary studies,,
Memorization,2,manual,keep,Memorization,,
Approccio multidisciplinare,2,manual,merge,Multidisciplinary approach,,
musei,2,manual,merge,Museums,,
narratologia,2,manual,merge,Narratology,,
Natural Language Processing,2,manual,merge,Natural language processing,NLP,Include correzione del refuso 'laguage' (5 occorrenze)
Peer review,2,manual,keep,Peer review,,
Philology,2,manual,keep,Philology,,
Promp injection,2,manual,merge,Prompt injection,,Correzione refuso
research integrity,2,entrambi,keep,Research integrity,,
uso responsabile,2,manual,merge,Responsible AI,,
Risk Management,2,automatic,merge,Risk management,,
Scholarly publishing,2,manual,keep,Scholarly publishing,,
social science,2,manual,merge,Social sciences,,
Technologica humanism,2,manual,merge,Technological humanism,,Correzione refuso
data literacy,2,manual,keep,data literacy,,
digital lexicography,2,manual,keep,digital lexicography,,
CCS Concepts Human,1,manual,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
CCS Concepts Human-centered computing → Accessibility →Accessibility design and evaluation methods,1,manual,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
centered computing → Accessibility →Accessibility design and evaluation methods,1,manual,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
"Computational Engineering, Finance, and Science (cs.CE)",1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Computer Science - Computer Vision and Pattern Recognition,1,manual,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Computer Science - Databases,1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Computer Science - Digital Libraries,1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Computer Science - Information Retrieval,1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Computer Science - Machine Learning,1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Computer Vision and Pattern Recognition (cs.CV),1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Condensed Matter - Materials Science,1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
FAQ,1,automatic,drop,,,"Tipo documentale, ridondante rispetto a Item Type"
French,1,manual,drop,,,Tag di lingua: ridondante rispetto al campo Language
Human-Computer Interaction (cs.HC),1,manual,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Manuale,1,manual,drop,,,"Tipo documentale, ridondante rispetto a Item Type"
Mathematics,1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Physics - Chemical Physics,1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
Psychology / General,1,automatic,drop,,,"Metadato editoriale/arXiv importato, non indicizzazione umana"
scientific report,1,automatic,drop,,,"Tipo documentale, ridondante rispetto a Item TypeE"
AI Supply Chain,1,automatic,keep,AI Supply Chain,,
AI case studies,1,manual,keep,AI case studies,,
AI case study,1,manual,keep,AI case study,,
AI creativity,1,manual,keep,AI creativity,,
AI criticism,1,manual,keep,AI criticism,,
AI investment,1,manual,keep,AI investment,,
AI law,1,manual,keep,AI law,,
AIMS (Artificial Intelligence Management System),1,manual,merge,AI management systems,AIMS,
AI models,1,manual,merge,AI models,,
modelli di intelligenza artificiale,1,manual,merge,AI models,,
AI sovereignty,1,manual,keep,AI sovereignty,,
accesso alla conoscenza,1,manual,merge,Access to knowledge,,
Accountability,1,automatic,keep,Accountability,,
Esthetic appreciation,1,manual,merge,Aesthetic appreciation,,
Algorithmic Audit,1,automatic,keep,Algorithmic Audit,,
Ancient Greek,1,manual,keep,Ancient Greek,,
vincolo archivistico,1,automatic,merge,Archival bond,,
fascicoli,1,automatic,merge,Archival files,,
archives,1,automatic,merge,Archives,,
art,1,manual,merge,Art,,
Art and AI,1,manual,keep,Art and AI,,
art museum labels,1,manual,keep,Art museum labels,,
Artificial General Intelligence – AGI,1,manual,merge,Artificial general intelligence,AGI,
Artifical intelligence,1,automatic,merge,Artificial intelligence,AI,
Artificial Narrow Intelligence – ANI,1,manual,merge,Artificial narrow intelligence,ANI,
Artificial Super Intelligence – ASI,1,manual,merge,Artificial super intelligence,ASI,
Authorship,1,manual,keep,Authorship,,
Authorship attribution,1,manual,keep,Authorship attribution,,
Authorship bias,1,manual,keep,Authorship bias,,
Automatic text acquisition,1,automatic,keep,Automatic text acquisition,,
automatic transcription,1,automatic,merge,Automatic transcription,,Tenuto distinto da HTR
Transcription,1,automatic,merge,Automatic transcription,,Tenuto distinto da HTR
BAGEL,1,manual,keep,BAGEL,,
Buone pratiche,1,manual,merge,Best practices,,
Birth certificates transcription,1,automatic,keep,Birth certificates transcription,,
born-digital records,1,automatic,keep,Born-digital records,,
cataloging,1,automatic,merge,Cataloguing,,
Causal authorship,1,manual,keep,Causal authorship,,
classificazione,1,automatic,merge,Classification,,
Claude,1,manual,merge,Claude,,
Claude models,1,manual,merge,Claude,,
Codes of Practice,1,automatic,keep,Codes of Practice,,
communication,1,manual,merge,Communication,,
Communication concepts,1,automatic,keep,Communication concepts,,
Compliance,1,automatic,keep,Compliance,,
Computer Vision for Cultural Heritage,1,automatic,keep,Computer Vision for Cultural Heritage,,
Computer science,1,automatic,keep,Computer science,,
Conformity Assessment,1,automatic,keep,Conformity Assessment,,
Conservation of cultural heritage,1,manual,keep,Conservation of cultural heritage,,
Copilot,1,manual,keep,Copilot,,
Copyright,1,manual,merge,Copyright,,
Diritto d'Autore,1,manual,merge,Copyright,,
Critical theory,1,automatic,keep,Critical theory,,
cultural heritage,1,manual,merge,Cultural heritage,,
istituzioni culturali,1,manual,merge,Cultural institutions,,
CULTURE,1,automatic,merge,Culture,,
Culturomics,1,automatic,keep,Culturomics,,
Cybernetics,1,manual,merge,Cybernetics,,
Cybernétique,1,manual,merge,Cybernetics,,
Kybernetik,1,manual,merge,Cybernetics,,
Cybernetics - Sociological perspectives,1,manual,keep,Cybernetics - Sociological perspectives,,
scrittura cipro-minoica,1,manual,merge,Cypro-Minoan script,,
DDC short numbers,1,automatic,keep,DDC short numbers,,
Dante,1,manual,keep,Dante,,
Data Governance,1,automatic,keep,Data Governance,,
Data librarianship,1,manual,keep,Data librarianship,,
desire,1,manual,merge,Desire,,
Approche diachronique,1,manual,merge,Diachronic approach,,
Diachronic Approach,1,manual,merge,Diachronic approach,,
DigiClass,1,automatic,keep,DigiClass,,
Digital age,1,automatic,keep,Digital age,,
Digital cultural heritage,1,manual,keep,Digital cultural heritage,,
Ecosistema digitale,1,manual,merge,Digital ecosystem,,
digital libraries,1,automatic,merge,Digital libraries,,
Digital library,1,automatic,merge,Digital libraries,,
filologia digitale,1,manual,merge,Digital philology,,
digital scholarly edition,1,manual,merge,Digital scholarly editions,,
digitalizzazione,1,manual,merge,Digitisation,,
Digitisation,1,automatic,merge,Digitisation,,
digitised records,1,automatic,keep,Digitised records,,
Discursive works,1,automatic,keep,Discursive works,,
Distribute authorship,1,manual,merge,Distributed authorship,,Correzione refuso
"DEI (Diversity, Equity, Inclusion)",1,manual,keep,"Diversity, equity and inclusion",DEI,
aggregazioni documentali,1,automatic,merge,Documentary aggregations,,
AI act,1,manual,merge,EU AI Act,,
EU AI Act,1,automatic,merge,EU AI Act,,
EU Database for AI Systems,1,automatic,keep,EU Database for AI Systems,,
EU research policy,1,automatic,keep,EU research policy,,
Imprim{\'e}s anciens,1,manual,merge,Early printed books,,Include de-escaping LaTeX
Old prints,1,manual,merge,Early printed books,,Include de-escaping LaTeX
economics,1,manual,merge,Economics,,
istruzione,1,manual,merge,Education,,
emotions,1,manual,merge,Emotions,,
epigrafia,1,manual,merge,Epigraphy,,
Epigraphy,1,manual,merge,Epigraphy,,
sperimentazione,1,manual,merge,Experimentation,,
Fascismo,1,manual,merge,Fascism,,
foundational model,1,manual,merge,Foundation models,,
discorso indiretto libero,1,manual,merge,Free indirect discourse,,
Fundamental Rights,1,automatic,keep,Fundamental Rights,,
GPAI Providers,1,automatic,keep,GPAI Providers,,
GPT-4,1,manual,keep,GPT-4,,
Gemini,1,manual,keep,Gemini,,
General-Purpose AI (GPAI),1,automatic,merge,General-purpose AI,GPAI,
GPAI Models,1,automatic,merge,General-purpose AI,GPAI,
Generative grammar,1,manual,keep,Generative grammar,,
Governance,1,automatic,keep,Governance,,
Greek World,1,automatic,merge,Greek world,,
Greek World/history,1,automatic,merge,Greek world,,
Linee guida,1,manual,merge,Guidelines,,
Guidelines for HTR,1,manual,merge,HTR guidelines,,
handwriting recognition,1,entrambi,merge,Handwritten text recognition,HTR,Le tre varianti 'HTR for...' sono specificazioni di dominio del medesimo concetto
HTR for historical documents,1,automatic,merge,Handwritten text recognition,HTR,Le tre varianti 'HTR for...' sono specificazioni di dominio del medesimo concetto
HTR for medieval French manuscripts,1,automatic,merge,Handwritten text recognition,HTR,Le tre varianti 'HTR for...' sono specificazioni di dominio del medesimo concetto
HTR for medieval Latin manuscripts,1,automatic,merge,Handwritten text recognition,HTR,Le tre varianti 'HTR for...' sono specificazioni di dominio del medesimo concetto
Harmonised Standards,1,automatic,keep,Harmonised Standards,,
High-Risk AI Systems,1,automatic,keep,High-Risk AI Systems,,
higher education,1,manual,merge,Higher education,,
university,1,manual,merge,Higher education,,
historical thinking,1,automatic,keep,Historical thinking,,
Histoire,1,manual,merge,History,,
storia,1,manual,merge,History,,
history teaching,1,automatic,keep,History teaching,,
Human Oversight,1,automatic,keep,Human Oversight,,
humanities,1,manual,merge,Humanities,,
IFLA,1,manual,keep,IFLA,,
ISO Standards,1,automatic,merge,ISO standards,,
iconografia,1,manual,merge,Iconography,,
riconoscimento immagini,1,manual,merge,Image recognition,,
Inclusion,1,manual,merge,Inclusion,,
Inclusiveness,1,manual,merge,Inclusion,,
Indeterminatezza,1,manual,merge,Indeterminacy,,
indicizzazione,1,automatic,merge,Indexing,,
industria,1,manual,merge,Industry,,
Information extraction,1,manual,keep,Information extraction,,
letteratura italiana,1,manual,merge,Italian literature,,
Italia,1,manual,merge,Italy,,
Knowledge engineering,1,automatic,keep,Knowledge engineering,,
Organizzazione della conoscenza,1,manual,merge,Knowledge organization,,
Kraken (HTR),1,manual,keep,Kraken (HTR),,
KullbackLeibler divergence KLD,1,manual,keep,KullbackLeibler divergence KLD,,
LLM training,1,manual,keep,LLM training,,
LLMs4EU,1,manual,keep,LLMs4EU,,
lavoro,1,manual,merge,Labour,,
Latin,1,manual,keep,Latin,,
diritto,1,manual,merge,Law,,
law,1,manual,merge,Law,,
Layers,1,automatic,keep,Layers,,
Library of Congress Classification,1,manual,keep,Library of Congress Classification,LCC,
Linked Open Data,1,manual,keep,Linked open data,LOD,
Literary genre,1,manual,keep,Literary genre,,
Literary value,1,manual,keep,Literary value,,
letteratura,1,manual,merge,Literature,,
Low resources languages,1,manual,keep,Low resources languages,,
Linee guida MIM,1,manual,merge,MIM guidelines (Italy),,
Machine Learning Lifecycle,1,automatic,keep,Machine Learning Lifecycle,,
machine learning,1,manual,merge,Machine learning,ML,
Machine-based classification,1,automatic,keep,Machine-based classification,,
Management Systems,1,automatic,keep,Management Systems,,
Media studies,1,automatic,keep,Media studies,,
handwritten medieval documents,1,automatic,merge,Medieval manuscripts,,
Medieval manuscripts,1,manual,merge,Medieval manuscripts,,
Medieval text,1,automatic,merge,Medieval texts,,
Metadata,1,manual,merge,Metadata,,
metadati,1,automatic,merge,Metadata,,
Methodology,1,manual,keep,Methodology,,
Moyen Âge,1,manual,merge,Middle Ages,,
Model System Cards,1,manual,keep,Model System Cards,,
Multilingal information retrieval,1,manual,merge,Multilingual information retrieval,,Include correzione refuso 'Multilingal'
Recherche d'information multilingue,1,manual,merge,Multilingual information retrieval,,Include correzione refuso 'Multilingal'
Multimedia systems,1,automatic,keep,Multimedia systems,,
Mussolini,1,manual,keep,Mussolini,,
Naples Dante Project,1,manual,keep,Naples Dante Project,,
Natural language processing systems,1,manual,merge,Natural language processing,NLP,Include correzione del refuso 'laguage' (5 occorrenze)
neural nets,1,automatic,merge,Neural networks,,
neural network,1,automatic,merge,Neural networks,,
Neural networks,1,automatic,merge,Neural networks,,
Normalized and diplomatic annotation,1,automatic,keep,Normalized and diplomatic annotation,,
Notified Bodies,1,automatic,keep,Notified Bodies,,
OWL ontology,1,manual,keep,OWL ontology,,
Ontologies,1,manual,merge,Ontologies,,
ontology,1,manual,merge,Ontologies,,
lettera aperta,1,manual,merge,Open letter,,
open letter,1,manual,merge,Open letter,,
OCR,1,manual,merge,Optical character recognition,OCR,Include de-escaping LaTeX
Optical character recognition OCR,1,manual,merge,Optical character recognition,OCR,Include de-escaping LaTeX
Reconnaissance optique de caract{\`e}res OCR,1,manual,merge,Optical character recognition,OCR,Include de-escaping LaTeX
Personas,1,manual,keep,Personas,,
policy,1,manual,merge,Policy,,
Policy Analysis,1,automatic,keep,Policy Analysis,,
policymaking,1,automatic,merge,Policymaking,,
Post-Market Monitoring,1,automatic,keep,Post-Market Monitoring,,
preservice teachers,1,automatic,merge,Preservice teachers,,
Promp engineering,1,manual,merge,Prompt engineering,,Correzione refuso
Amministrazione Pubblica,1,manual,merge,Public administration,,
Public administration,1,automatic,merge,Public administration,,
Public libraries,1,automatic,keep,Public libraries,,
Python,1,manual,keep,Python,,
Quality Management System,1,automatic,keep,Quality Management System,,
Readers,1,manual,keep,Readers,,
Reasoning LLMs,1,manual,keep,Reasoning LLMs,,
regolamentazione,1,manual,merge,Regulation,,
Regulatory Framework,1,automatic,keep,Regulatory Framework,,
Regulatory Sandboxes,1,automatic,keep,Regulatory Sandboxes,,
affidabilità,1,manual,merge,Reliability,,
Representation,1,manual,keep,Representation,,
Riproducibilità,1,manual,merge,Reproducibility,,
research staff,1,automatic,keep,Research staff,,
Responsible AI,1,manual,merge,Responsible AI,,Accorpa 'uso responsabile' e 'sviluppo responsabile'
sviluppo responsabile,1,manual,merge,Responsible AI,,Accorpa 'uso responsabile' e 'sviluppo responsabile'
Retrieval Augmented Generation,1,manual,merge,Retrieval-augmented generation,RAG,
rischi,1,manual,merge,Risk,,
Robots,1,manual,keep,Robots,,
Safety Requirements,1,automatic,keep,Safety Requirements,,
Metodo scientifico,1,manual,merge,Scientific method,,
scientific progress,1,automatic,keep,Scientific progress,,
Scientific and technical research,1,automatic,merge,Scientific research,,
Scientific research workflows,1,manual,keep,Scientific research workflows,,
intelligenza condivisa,1,manual,merge,Shared intelligence,,
SSH,1,manual,merge,Social sciences and humanities,SSH,
sociology,1,manual,merge,Sociology,,
Software libraries,1,automatic,keep,Software libraries,,"Omonimia con 'Libraries': accezione informatica, NON accorpare"
Stereotypes,1,manual,keep,Stereotypes,,
pappagalli stocastici,1,manual,merge,Stochastic parrots,,
Stylometry,1,manual,keep,Stylometry,,
Suspence,1,manual,merge,Suspense,,Correzione refuso
sostenibilità,1,manual,merge,Sustainability,,
Systematic literature review,1,automatic,keep,Systematic literature review,,
Systemic Risk,1,automatic,keep,Systemic Risk,,
TEI encoding,1,manual,keep,TEI encoding,,
Task automation,1,manual,keep,Task automation,,
Technical Documentation,1,automatic,keep,Technical Documentation,,
Diritto delle Nuove Tecnologie,1,manual,merge,Technology law,,
Testo,1,manual,merge,Text,,
text,1,manual,merge,Text,,
Text processing,1,manual,keep,Text processing,,
Produzioni di testo,1,manual,merge,Text production,,
text-to-image,1,manual,merge,Text-to-image generation,,
text-to-image generation,1,manual,merge,Text-to-image generation,,
Tempo nella letteratura,1,manual,merge,Time in literature,,
Transkribus,1,automatic,keep,Transkribus,,
Translation studies,1,manual,keep,Translation studies,,
Transparency Requirements,1,automatic,keep,Transparency Requirements,,
Valorisation of cultural heritage,1,manual,keep,Valorisation of cultural heritage,,
Biblioteca Apostolica Vaticana,1,manual,keep,Vatican Apostolic Library,,
Visual materials,1,manual,keep,Visual materials,,
Vocabulary,1,automatic,keep,Vocabulary,,
Writing,1,automatic,keep,Writing,,
bidirectional long short-term memory,1,automatic,keep,bidirectional long short-term memory,,
computational history,1,automatic,keep,computational history,,
computational methods,1,automatic,keep,computational methods,,
critical analysis,1,manual,keep,critical analysis,,
data science,1,automatic,keep,data science,,
decision-making,1,automatic,keep,decision-making,,
digital diplomatics,1,automatic,keep,digital diplomatics,,
digital technology,1,manual,keep,digital technology,,
distant reading,1,manual,keep,distant reading,,
document image processing,1,automatic,keep,document image processing,,
document understanding,1,manual,keep,document understanding,,
economic inequality,1,manual,keep,economic inequality,,
environmental footprint,1,manual,keep,environmental footprint,,
feature extraction,1,automatic,keep,feature extraction,,
hidden Markov models,1,entrambi,keep,hidden Markov models,,
historical documents,1,automatic,keep,historical documents,,
image,1,manual,keep,image,,
image browsing,1,automatic,keep,image browsing,,
impact of information technology,1,automatic,keep,impact of information technology,,
innovation,1,automatic,keep,innovation,,
medieval and early modern German,1,manual,keep,medieval and early modern German,,
medieval charters,1,automatic,keep,medieval charters,,
medieval digital studies,1,automatic,keep,medieval digital studies,,
middle high German,1,automatic,keep,middle high German,,
model performance,1,manual,keep,model performance,,
multimodal,1,manual,keep,multimodal,,
multiple European languages,1,manual,keep,multiple European languages,,
narrative revelation,1,manual,keep,narrative revelation,,
open source,1,manual,keep,open source,,
privacy,1,manual,keep,privacy,,
real world systems,1,automatic,keep,real world systems,,
software,1,manual,keep,software,,
tasks,1,manual,keep,tasks,,
text alignment,1,manual,keep,text alignment,,
text browsing,1,automatic,keep,text browsing,,
text normalisation,1,manual,keep,text normalisation,,
unconstrained modern scripts,1,automatic,keep,unconstrained modern scripts,,
user experience,1,automatic,keep,user experience,,
video,1,manual,keep,video,,
web data,1,manual,keep,web data,,
word accuracy,1,automatic,keep,word accuracy,,
word image extraction,1,automatic,keep,word image extraction,,
